Flows,Throughput,Throughput CPU,RR,RR CPU
1,1.0817958344195417,33.0613040784889,15189.77,1.23
2,1.011499812449662,31.012599961545572,14806.45,1.135
4,0.9763950625457617,31.556303805588307,14338.2025,1.105
8,0.891507492100503,29.15852261005961,13749.11625,1.08
16,0.906537402692366,33.2894935211204,12123.55875,1.004609375
32,0.6575245432172666,31.430239409256416,9680.488125,0.9205859375000001
