FLOWS,TCP Throughput,TCP Throughput CPU,TCP RR,TCP RR CPU
1,1.9217387620581785,15.522663406945437,4211.13,5.75
2,0.9837257245529725,9.913869938898468,4667.3,7.23
4,0.4943674416962819,5.420521406158212,4404.3975,6.769375
8,0.24709345717664802,2.7217795775548765,4366.25625,6.76078125
16,0.1236050331489,1.469212284924516,3086.466875,5.158203125
32,0.06229594506772386,0.8314890858681026,1044.1315625,2.9362109375
