Flows,Throughput,Throughput CPU,RR,RR CPU
1,19.9384453658108,64.698321078568,15917.97,0.91
2,21.48192190688161,90.92332566741672,15917.45,0.88
4,21.908084039649275,82.27239548203364,16141.4025,0.845
8,12.350371879174816,52.1305677004242,16168.731249999999,0.83375
16,6.164307972810757,34.235158351354436,15240.942500000001,0.84875
32,3.0913922507757023,20.681556423656996,13676.94625,0.877783203125
