Flows,Throughput,Throughput CPU,RR,RR CPU
1,3.6145821660895114,99.98664509571014,37067.34,1.21
2,3.3079293411364876,99.9878201333088,35180.11,1.115
4,3.144913304206517,99.98731220905984,33278.67,1.0475
8,3.042525104632677,99.9850447508487,32398.7225,1.01
16,2.5971525879191173,99.98332580476166,29103.823125,0.970625
32,1.9727494011725641,99.92089618795335,23314.791875,0.915322265625
