Flows,Throughput,Throughput CPU,RR,RR CPU
1,2.1489018345239788,29.566282076948475,25385.56,1.22
2,1.9595436297547792,30.716113027664477,25315.415,1.16
4,1.9021184119825731,27.580155390936778,24693.335,1.1225
8,1.8341143351730147,27.966446359123786,21695.1875,0.96125
16,1.4308886251556645,25.971104643175764,18255.99,0.88375
32,1.0149625693347475,24.79444172765195,15919.0703125,0.8717773437499999
