Flows,Throughput,Throughput CPU,RR,RR CPU
1,34.15394932612342,71.74488359914764,25491.54,1.18
2,28.746758005508248,66.22030047782907,23288.915,1.115
4,23.250049663616753,65.1397415904317,23536.895,1.125
8,12.253065581334788,36.09737125220346,21894.995,1.07875
16,6.14215371192704,21.90941109723904,20386.6525,1.035234375
32,3.0881699870190564,15.70558516053268,15629.1765625,0.87943359375
